gladius_hispaniensis	Меч, кот+орый +он+и назыв+ают исп+анским, превосх+оден дл+я ук+ола.. ... ... ... ... ... +оба ег+о л+езвия с+ильно р+ежут, потом+у чт+о клин+ок кр+епок +и н+ад+ёжен. ... ... Ист+очник.. ... ... Пол+ибий.. ... ... Все+общая ист+ория.. ... ... Кн+ига шест+ая.. ... ... Глав+а дв+адцать тр+етья.. ... ... Парагр+афы шест+ой.. ... ... ... ... ... седьм+ой.
currency_reform	Ц+арь С+ервий п+ервым пост+авил зн+ак н+а м+еди.. ... ... ... ... ... серебр+о ст+али чек+анить в чет+ыреста в+осемьдесят п+ятом г+од+у г+орода. ... ... Ист+очник.. ... ... Пл+иний Ст+арший.. ... ... Ест+ественная ист+ория.. ... ... Кн+ига тр+идцать тр+етья.. ... ... Парагр+афы с+орок тр+етий.. ... ... ... ... ... с+орок шест+ой.
tax_census	П+усть ц+ензоры вед+ут счёт возраст+ам, пот+омству, с+емь+ям +и +им+уществу нар+ода. ... ... Ист+очник.. ... ... Цицер+он.. ... ... +О зак+онах.. ... ... Кн+ига тр+етья.. ... ... Глав+а тр+етья.. ... ... Парагр+аф седьм+ой.
banking	Ни одн+а мон+ета в Г+аллии н+е перех+одит +из р+ук в р+уки б+ез з+аписи в кн+игах р+имских гр+аждан. ... ... Ист+очник.. ... ... Цицер+он.. ... ... В защ+иту Фонт+ея.. ... ... Парагр+аф од+иннадцатый.
latifundia	Латиф+ундии погуб+или Ит+алию, +а теп+ерь уж+е +и пров+инции. ... ... Ист+очник.. ... ... Пл+иний Ст+арший.. ... ... Ест+ественная ист+ория.. ... ... Кн+ига восемн+адцатая.. ... ... Парагр+аф тр+идцать п+ятый.
merchant_collegia	Ком+у разрешен+о +образ+овывать колл+егию, те впр+аве приним+ать себ+е уст+ав, л+ишь б+ы +он н+е наруш+ал публ+ичного зак+он+а. ... ... Ист+очник.. ... ... Диг+есты Юстини+ана.. ... ... Кн+ига с+орок седьм+ая.. ... ... Т+итул дв+адцать втор+ой.. ... ... Фрагм+ент четв+ёртый.
customs_posts	К+есарево отдав+айте к+есарю, +а Б+ожие.. ... ... ... ... ... Б+огу. ... ... Ист+очник.. ... ... Ев+ангелие +от Матф+ея.. ... ... Глав+а дв+адцать втор+ая.. ... ... Ст+их дв+адцать п+ервый.
state_mints	Чьё +это изображ+ение +и н+адпись?.. ... ... ... ... ... К+есаревы. ... ... Ист+очник.. ... ... Ев+ангелие +от Матф+ея.. ... ... Глав+а дв+адцать втор+ая.. ... ... Стих+и двадц+атый +и дв+адцать п+ервый.
grain_contracts	Ег+ипет доставл+яет стол+ице зерн+о н+а чет+ыре м+есяца г+ода, +африка.. ... ... ... ... ... н+а остальн+ые в+осемь. ... ... Ист+очник.. ... ... И+осиф Фл+авий.. ... ... Иуд+ейская войн+а.. ... ... Кн+ига втор+ая.. ... ... Парагр+аф тр+иста в+осемьдесят тр+етий.
imperial_treasury	+август ост+авил з+апись +о ч+исленности в+ойск +и фл+отов, +о дох+одах +и расх+одах госуд+арства. ... ... Ист+очник.. ... ... Т+ацит.. ... ... +Анналы.. ... ... Кн+ига п+ервая.. ... ... Глав+а од+иннадцатая.
aqueduct	Кт+о сравн+ит с т+ак+ими водопров+одами пр+аздные пирам+иды +или беспол+езные, хот+я +и просл+авленные, сооруж+ения гр+еков?. ... ... Ист+очник.. ... ... Фронт+ин.. ... ... +О водопров+одах г+орода Р+има.. ... ... Глав+а шестн+адцатая.
concrete	+Этот пор+ошок, см+ешанный с изв+естью +и щ+ебнем, н+е т+олько прид+аёт пр+очность стро+ениям, н+о затвердев+ает +и п+од в+од+ой. ... ... Ист+очник.. ... ... Витр+увий.. ... ... Д+есять кн+иг +об архитект+уре.. ... ... Кн+ига втор+ая.. ... ... Глав+а шест+ая.
public_baths	+Я жив+у пр+ямо н+ад б+аней.. ... ... ... ... ... ... ... ... предст+авь себ+е вс+е зв+уки, кот+орые м+огут раздраж+ать +уши. ... ... Ист+очник.. ... ... Сен+ека.. ... ... Нр+авственные п+исьма к Луц+илию.. ... ... Письм+о пятьдес+ят шест+ое.. ... ... Парагр+аф п+ервый.
forum_maximum	Простр+анство м+ежду Капит+олием +и Палат+ином +он+и обрат+или в ф+орум, гд+е сход+ились +и обсужд+али дел+а. ... ... Ист+очник.. ... ... Дионис+ий Галикарн+асский.. ... ... Р+имские др+евности.. ... ... Кн+ига втор+ая.. ... ... Глав+а пятидес+ятая.
granaries	Б+ыло установл+ено, чт+о хл+еба в г+ороде остав+алось н+е б+олее ч+ем н+а пятн+адцать дн+ей. ... ... Ист+очник.. ... ... Т+ацит.. ... ... +Анналы.. ... ... Кн+ига двен+адцатая.. ... ... Глав+а с+орок тр+етья.
stone_roads	Р+имляне ос+обенно забот+ились +о тр+ёх вещ+ах, кот+орыми гр+еки пренебрег+али.. ... ... ... ... ... ... ... ... +о дор+огах, водопров+одах +и ст+очных кан+алах. ... ... Ист+очник.. ... ... Страб+он.. ... ... Геогр+афия.. ... ... Кн+ига п+ятая.. ... ... Глав+а тр+етья.. ... ... Парагр+аф восьм+ой.
harbor_cranes	Маш+ины дл+я подъ+ёма т+яжестей устр+аиваются +из бл+оков, ворот+ов +и рычаг+ов. ... ... Ист+очник.. ... ... Витр+увий.. ... ... Д+есять кн+иг +об архитект+уре.. ... ... Кн+ига дес+ятая.. ... ... Глав+а втор+ая.
military_roads	Ц+езарь поспеш+ил больш+ими перех+одами в Д+альнюю Г+аллию ч+ерез +альпы, чт+обы оперед+ить враг+а. ... ... Ист+очник.. ... ... +Юлий Ц+езарь.. ... ... Зап+иски +о Г+альской войн+е.. ... ... Кн+ига п+ервая.. ... ... Глав+а дес+ятая.
provincial_archives	+Он остав+ил тр+и запеч+атанных св+итка.. ... ... ... ... ... ... ... ... распоряж+ения +о похор+онах, отч+ёт +о сво+их де+яниях +и св+одку +о полож+ении держ+авы. ... ... Ист+очник.. ... ... Свет+оний.. ... ... Бож+ественный +Август.. ... ... Глав+а ст+о п+ервая.
great_building_program	+Август говор+ил.. ... ... ... ... ... ... ... ... +Я наш+ёл Р+им кирп+ичным, оставл+яю ег+о мр+аморным,.. ... ... ... ... ... +и сл+ово ст+ало д+елом. ... ... Ист+очник.. ... ... Свет+оний.. ... ... Ж+изнь +Августа.. ... ... Глав+а дв+адцать восьм+ая.
naval_quinquereme	Р+имляне постр+оили ст+о пент+ер +и дв+адцать тр+и+ер, взяв з+а +образ+ец карфаг+енский кор+абль, в+ыброшенный н+а б+ерег. ... ... Ист+очник.. ... ... Пол+ибий.. ... ... Все+общая ист+ория.. ... ... Кн+ига п+ервая.. ... ... Глав+а двадц+атая.
corvus_bridge	Н+а нос+у корабл+ей установ+или маш+ину, назыв+аемую в+ороном.. ... ... ... ... ... ... ... ... п+о перекидн+ому м+ост+у в+оины переход+или н+а п+алубу враг+а +и сраж+ались врукоп+ашную. ... ... Ист+очник.. ... ... Пол+ибий.. ... ... Все+общая ист+ория.. ... ... Кн+ига п+ервая.. ... ... Глав+а дв+адцать втор+ая.
naval_supply	С ноябр+я +и д+о весн+ы мор+я закр+ыты дл+я пл+авания. ... ... Ист+очник.. ... ... Вег+еций.. ... ... +О во+енном д+еле.. ... ... Кн+ига четв+ёртая.. ... ... Глав+а тр+идцать дев+ятая.
admiralty	Дв+а фл+ота, од+ин в Миз+ене, друг+ой в Рав+енне, охран+яли мор+я Ит+алии. ... ... Ист+очник.. ... ... Т+ацит.. ... ... +Анналы.. ... ... Кн+ига четв+ёртая.. ... ... Глав+а п+ятая.
pirate_suppression	Н+е прошл+о +и тр+ёх м+есяцев, к+ак м+оре б+ыло соверш+енно оч+ищено +от разб+ойников. ... ... Ист+очник.. ... ... Плут+арх.. ... ... Помп+ей.. ... ... Глав+а дв+адцать восьм+ая.
mare_nostrum	Имп+ерии +я н+е клад+у н+и пр+ед+ела, н+и ср+ока.. ... ... ... ... ... ... ... ... вл+асть даров+ал +им б+ез конц+а. ... ... Ист+очник.. ... ... Верг+илий.. ... ... Эне+ида.. ... ... Кн+ига п+ервая.. ... ... Стр+оки дв+ести С+емьдесят восьм+ая.. ... ... ... ... ... дв+ести С+емьдесят дев+ятая.
fleet_bases	Фл+оты +он размест+ил +у Миз+ена +и Рав+енны, чт+обы охраня+ть В+ерхнее +и Н+ижнее м+оре. ... ... Ист+очник.. ... ... Свет+оний.. ... ... Бож+ественный +Август.. ... ... Глав+а с+орок дев+ятая.
grain_fleet	Ег+ипет доставл+яет стол+ице зерн+о н+а чет+ыре м+есяца г+ода. ... ... Ист+очник.. ... ... И+осиф Фл+авий.. ... ... Иуд+ейская войн+а.. ... ... Кн+ига втор+ая.. ... ... Парагр+аф тр+иста в+осемьдесят тр+етий.
lighthouse_network	Н+а конц+е +острова ст+оит б+ашня +из б+елого к+амня, д+ивно постр+оенная, многоэт+ажная +и н+азванная Ф+аросом. ... ... Ист+очник.. ... ... Страб+он.. ... ... Геогр+афия.. ... ... Кн+ига семн+адцатая.. ... ... Глав+а п+ервая.. ... ... Парагр+аф шест+ой.
deepwater_harbors	В с+ердце мор+ей пред+елы тво+и.. ... ... ... ... ... стро+ители тво+и доверш+или красот+у тво+ю. ... ... Ист+очник.. ... ... Кн+ига прор+ока Иезеки+иля.. ... ... Глав+а дв+адцать седьм+ая.. ... ... Ст+их четв+ёртый.
twelve_tables	Одн+а м+аленькая кн+ига Двен+адцати табл+иц превосх+одит, к+ак мн+е к+ажется, библиот+еки вс+ех фил+ософов. ... ... Ист+очник.. ... ... Цицер+он.. ... ... +об ор+аторе.. ... ... Кн+ига п+ервая.. ... ... Парагр+аф ст+о девян+осто п+ятый.
provincial_law	Вс+е нар+оды, управл+яемые зак+онами +и +об+ычаями, польз+уются отч+асти сво+им пр+авом, отч+асти пр+авом, +общим вс+ем л+юдям. ... ... Ист+очник.. ... ... Г+ай.. ... ... Инстит+уции.. ... ... Кн+ига п+ервая.. ... ... Парагр+аф п+ервый.
citizenship_grants	Чт+о погуб+ило лакедем+онян +и аф+инян, к+ак н+е т+о, чт+о +он+и отгор+аживались +от побежд+ённых, к+ак +от чужез+емцев?. ... ... Ист+очник.. ... ... Т+ацит.. ... ... +Анналы.. ... ... Кн+ига од+иннадцатая.. ... ... Глав+а дв+адцать четв+ёртая.
governor_audits	П+омни, чт+о т+ы п+ослан в +эту пров+инцию потом+у, чт+о мн+огое в н+ей +явно нужд+ается в исправл+ении. ... ... Ист+очник.. ... ... Пл+иний Мл+адший.. ... ... П+исьма.. ... ... Кн+ига дес+ятая.. ... ... Письм+о тр+идцать втор+ое.. ... ... Письм+о Тра+яна.
imperial_couriers	Н+а в+о+енных дор+огах +он расст+авил сн+ачала мол+одых гонц+ов, +а зат+ем пов+озки, чт+обы ск+орее получ+ать изв+естия. ... ... Ист+очник.. ... ... Свет+оний.. ... ... Бож+ественный +Август.. ... ... Глав+а с+орок дев+ятая.
roman_schools	Едв+а л+и найд+ётся реб+ёнок, кот+орый н+е м+ог б+ы чег+о-либо дост+ичь ус+ердным обуч+ением. ... ... Ист+очник.. ... ... Квинтили+ан.. ... ... Наставл+ение ор+атору.. ... ... Кн+ига п+ервая.. ... ... Глав+а п+ервая.
senatorial_commissions	Сен+ат д+олжен б+ыть своб+оден +от пор+ока +и служ+ить прим+ером пр+очим. ... ... Ист+очник.. ... ... Цицер+он.. ... ... +О зак+онах.. ... ... Кн+ига тр+етья.. ... ... Глав+а дв+адцать восьм+ая.
imperial_cult	Д+альняя Исп+ания напр+авила посл+ов, прос+я позвол+ения воздв+игнуть хр+ам Тиб+ерию +и ег+о м+атери. ... ... Ист+очник.. ... ... Т+ацит.. ... ... +Анналы.. ... ... Кн+ига четв+ёртая.. ... ... Глав+а тр+идцать седьм+ая.
universal_citizenship	+Он объяв+ил вс+ех ж+ителей сво+ей держ+авы р+имскими гр+ажданами.. ... ... ... ... ... ... ... ... н+а слов+ах ок+азывая +им ч+есть, н+а д+еле ж+е умнож+ая дох+оды. ... ... Ист+очник.. ... ... Ди+он К+ассий.. ... ... Р+имская ист+ория.. ... ... Кн+ига С+емьдесят восьм+ая.. ... ... Глав+а дев+ятая.
pax_romana	Во вс+ё ц+арствование Н+умы хр+ам +Януса остав+ался закр+ыт.. ... ... ... ... ... ... ... ... н+е б+ыло н+и войн+ы, н+и мятеж+а. ... ... Ист+очник.. ... ... Плут+арх.. ... ... Н+ума.. ... ... Глав+а двадц+атая.
iron_armories	Леги+он им+еет плотник+ов, кузнец+ов, оруж+ейников +и пр+очих мастер+ов, необход+имых в+ойску. ... ... Ист+очник.. ... ... Вег+еций.. ... ... +О во+енном д+еле.. ... ... Кн+ига втор+ая.. ... ... Глав+а од+иннадцатая.
pila_mass_production	П+илумы проб+или п+о н+ескольку щит+ов ср+азу.. ... ... ... ... ... согн+увшееся жел+езо меш+ало сраж+аться, +и мн+огие бр+осили щит+ы. ... ... Ист+очник.. ... ... Ц+езарь.. ... ... Зап+иски +о Г+альской войн+е.. ... ... Кн+ига п+ервая.. ... ... Глав+а дв+адцать п+ятая.
cohort_tactics	П+ервая ког+орта превосх+одит пр+очие числ+ом +и дост+оинством +и состо+ит +из отб+орных в+оинов. ... ... Ист+очник.. ... ... Вег+еций.. ... ... +О во+енном д+еле.. ... ... Кн+ига втор+ая.. ... ... Глав+а шест+ая.
field_medicine	Здор+овье в+ойска завис+ит +от м+еста, в+од+ы, вр+емени г+ода, врачев+ания +и упражн+ений. ... ... Ист+очник.. ... ... Вег+еций.. ... ... Кр+аткое излож+ение во+енного д+ела.. ... ... Кн+ига тр+етья.. ... ... Глав+а втор+ая.
veteran_colonies	С+улла разд+ел+ил з+емлю гражд+ан м+ежду сво+ими в+оинами +и посел+ил +их в г+ород+ах Ит+алии. ... ... Ист+очник.. ... ... Аппи+ан.. ... ... Гражд+анские войн+ы.. ... ... Кн+ига п+ервая.. ... ... Парагр+аф с+отый.
auxiliary_recruitment	Вперед+и сто+яли в+осемь т+ысяч бат+авов +и пр+очих вспомог+ательных в+ойск.. ... ... ... ... ... леги+оны остав+ались п+еред в+алом. ... ... Ист+очник.. ... ... Т+ацит.. ... ... Агр+икола.. ... ... Глав+а тр+идцать п+ятая.
siege_doctrine	Маш+ины сооруж+аются п+о определ+ённым соотнош+ениям, б+ез кот+орых невозм+ожно дост+ичь с+илы +и т+очности. ... ... Ист+очник.. ... ... Витр+увий.. ... ... Д+есять кн+иг +об архитект+уре.. ... ... Кн+ига дес+ятая.. ... ... Глав+ы дес+ятая.. ... ... ... ... ... двен+адцатая.
torsion_artillery	Разм+еры катап+ульт +и скорпи+онов определ+яют п+о длин+е стрел+ы +и ди+аметру отв+ерстия пруж+ины. ... ... Ист+очник.. ... ... Витр+увий.. ... ... Д+есять кн+иг +об архитект+уре.. ... ... Кн+ига дес+ятая.. ... ... Глав+ы дес+ятая.. ... ... ... ... ... од+иннадцатая.
legionary_workshops	Леги+он +им+еет мастер+ов вс+якого ремесл+а, необход+имого дл+я изготовл+ения +и поч+инки ор+ужия, пов+озок +и маш+ин. ... ... Ист+очник.. ... ... Вег+еций.. ... ... Кр+аткое излож+ение во+енного д+ела.. ... ... Кн+ига втор+ая.. ... ... Глав+а од+иннадцатая.
counterweight_engines	+Онагр мет+ает к+амни сил+ой туг+о скр+ученных жил. ... ... Ист+очник.. ... ... Амми+ан Марцелл+ин.. ... ... Де+яния.. ... ... Кн+ига дв+адцать тр+етья.. ... ... Глав+а четв+ёртая.
incendiary_munitions	Пр+отив ос+адных маш+ин брос+ают ог+онь, смол+у, с+еру +и пром+асленные гор+ючие м+атери+алы. ... ... Ист+очник.. ... ... Вег+еций.. ... ... Кр+аткое излож+ение во+енного д+ела.. ... ... Кн+ига четв+ёртая.. ... ... Глав+а восемн+адцатая.
mobile_field_artillery	В к+аждом леги+оне б+ыло пятьдес+ят п+ять карробалл+ист.. ... ... ... ... ... п+о одн+ой н+а к+аждую цент+урию.. ... ... ... ... ... +их везл+и м+улы. ... ... Ист+очник.. ... ... Вег+еций.. ... ... Кр+аткое излож+ение во+енного д+ела.. ... ... Кн+ига втор+ая.. ... ... Глав+а дв+адцать п+ятая.
repeating_artillery	Т+ак назыв+аемая повтор+яющаяся катап+ульта +им+еет ос+обое +и весьм+а сл+ожное устр+ойство. ... ... Ист+очник.. ... ... Фил+он Визант+ийский.. ... ... Белопо+этика.. ... ... Глав+а С+емьдесят тр+етья.. ... ... Парагр+аф двадц+атый.. ... ... Маш+ина приписан+а Дионис+ию Александр+ийскому.
naval_artillery	Н+а боев+ых корабл+ях прим+еняются балл+исты, скорпи+оны +и проч+ие мет+ательные маш+ины. ... ... Ист+очник.. ... ... Вег+еций.. ... ... Кр+аткое излож+ение во+енного д+ела.. ... ... Кн+ига четв+ёртая.. ... ... Глав+а с+орок четв+ёртая.
scribal_bureau	+Он остав+ил тр+и запеч+атанных св+итка, од+ин +из кот+орых содерж+ал кр+аткую св+одку +о полож+ении вс+ей держ+авы. ... ... Ист+очник.. ... ... Свет+оний.. ... ... Бож+ественный +Август.. ... ... Глав+а ст+о п+ервая.
latin_libraries	При хр+аме Аполл+он+а +он устр+оил лат+инскую +и гр+еческую библиот+еки. ... ... Ист+очник.. ... ... Свет+оний.. ... ... Бож+ественный +Август.. ... ... Глав+а дв+адцать дев+ятая.
greek_tutors	Гр+еция, побежд+ённая, покор+ила своег+о д+икого побед+ителя +и принесл+а иск+усства в Л+атий. ... ... Ист+очник.. ... ... Гор+аций.. ... ... Посл+ания.. ... ... Кн+ига втор+ая.. ... ... Письм+о п+ервое.. ... ... Строк+а ст+о пятьдес+ят шест+ая.
alexandrian_mechanics	М+ы излаг+аем устр+ойства, привод+имые в движ+ение в+оздухом, в+од+ой +и огн+ём. ... ... Ист+очник.. ... ... Гер+он Александр+ийский.. ... ... Пневм+атика.. ... ... Кн+ига п+ервая.. ... ... Предисл+овие.
imperial_academies	+Он п+ервым назнач+ил +из госуд+арственной казн+ы ежег+одное жалов+анье лат+инским +и гр+еческим р+иторам. ... ... Ист+очник.. ... ... Свет+оний.. ... ... Бож+ественный Веспаси+ан.. ... ... Глав+а восемн+адцатая.
jurists_chancery	Отв+еты правов+едов.. ... ... ... ... ... +это мн+ения тех, ком+у позвол+ено создав+ать пр+аво. ... ... Ист+очник.. ... ... Г+ай.. ... ... Инстит+уции.. ... ... Кн+ига п+ервая.. ... ... Парагр+аф седьм+ой.
augural_colleges	Ни одног+о в+ажного дел+а д+ома +или н+а войн+е р+имляне н+е начин+али б+ез вз+ятия аусп+иций. ... ... Ист+очник.. ... ... Цицер+он.. ... ... +О дивин+ации.. ... ... Кн+ига п+ервая.. ... ... Парагр+аф дв+адцать восьм+ой.
sacred_calendar	Времен+а +и прич+ины, распредел+ённые п+о лат+инскому г+оду, +я воспо+ю. ... ... Ист+очник.. ... ... Ов+идий.. ... ... Ф+асты.. ... ... Кн+ига п+ервая.. ... ... Строк+а п+ервая.
monument_commissions	+Он м+ог п+о пр+аву хвал+иться, чт+о прин+ял Р+им кирп+ичным, +а оставл+ял мр+аморным. ... ... Ист+очник.. ... ... Свет+оний.. ... ... Бож+ественный +Август.. ... ... Глав+а дв+адцать восьм+ая.
marble_quarries	К+аменоломни Л+уны снабж+ают Р+им плит+ами +и кол+оннами, +и б+ольшая ч+асть зам+ечательных зд+аний укр+ашена +этим к+амнем. ... ... Ист+очник.. ... ... Страб+он.. ... ... Геогр+афия.. ... ... Кн+ига п+ятая.. ... ... Глав+а втор+ая.. ... ... Парагр+аф п+ятый.
urban_prefecture	+Август учред+ил преф+ектуру Г+орода, чт+обы сд+ерживать раб+ов +и беспок+ойных гр+аждан. ... ... Ист+очник.. ... ... Т+ацит.. ... ... +Анналы.. ... ... Кн+ига шест+ая.. ... ... Глав+а од+иннадцатая.
