№;Период;ID;Название;Отрасль;Стоимость;Предпосылки;Описание;Открывает
11;I. Италийские основы и ранняя Республика (509–300 до н. э.);via_appia;Многослойная магистраль Via Appia;Дороги, вода и строительство;62;groma_surveying;Дорожное полотно получает основание, щебёночные слои, водоотвод и размеченные дистанции.;отряд: Дорожные инженеры | здание: Мильный столб | здание: Царица дорог | чудо света: Аппиева дорога
12;I. Италийские основы и ранняя Республика (509–300 до н. э.);groma_surveying;Громатическое межевание;Дороги, вода и строительство;65;;Грома, мерные шесты и прямоугольная сетка позволяют точно разбивать дороги, лагеря и земельные участки.;здание: Кардо и декуманус | здание: Контора землемеров | здание: Оросительные каналы | здание: Осушение болот | чудо света: Аква Клавдия | чудо света: Аква Марция | чудо света: Акведук Аппия | чудо света: Акведук Сеговии
13;I. Италийские основы и ранняя Республика (509–300 до н. э.);lined_cisterns;Водонепроницаемые цистерны;Дороги, вода и строительство;64;groma_surveying;Известково-керамическая обмазка удерживает дождевую воду и создаёт городской резерв на засуху и осаду.;здание: Цистерна | чудо света: Висячие сады
14;I. Италийские основы и ранняя Республика (509–300 до н. э.);cloaca_vaulting;Сводчатая канализация;Дороги, вода и строительство;67;lined_cisterns;Каменные коллекторы перекрываются прочным сводом и отводят воду из низин и городских кварталов.;здание: Клоака | здание: Общественные уборные | здание: Осушение болот | чудо света: Клоака Максима
15;I. Италийские основы и ранняя Республика (509–300 до н. э.);iron_ploughshares;Железные сошники и лемехи;Земледелие, добыча и ремесло;70;;Железная рабочая кромка глубже режет тяжёлую почву и повышает устойчивость земледелия.;здание: Хутор | ресурсный эффект: +10% добычи пшеницы и +4% скота
16;I. Италийские основы и ранняя Республика (509–300 до н. э.);bronze_molds;Составные формы для бронзы;Земледелие, добыча и ремесло;73;iron_ploughshares;Разъёмные литейные формы и контроль сплава позволяют серийно отливать инструменты, детали и статуи.;здание: Бронзолитейня | здание: Кузница | здание: Медный рудник | здание: Оловянный рудник | чудо света: Колосс Родосский | чудо света: Статуя Зевса Олимпийского | ресурсный эффект: +25% мощности переработки бронзы
17;I. Италийские основы и ранняя Республика (509–300 до н. э.);merchant_collegia;Коллегии ремесла и торговли;Торговля, деньги и снабжение;72;;Купцы и мастера объединяют кассы, стандарты, обучение и совместные поставки.;здание: Биржа пряностей | здание: Бычий рынок | здание: Коллегия купцов | здание: Коллегия ремесленников | здание: Эмпорий | чудо света: Большой рынок — Macellum Magnum | чудо света: Рынки Траяна
18;I. Италийские основы и ранняя Республика (509–300 до н. э.);stone_roads;Каменное мощение и водоотвод;Дороги, вода и строительство;75;via_appia;Крупные плиты, бордюры, кюветы и мостовые трубы превращают дорогу во всепогодную инфраструктуру.;здание: Каменный мост | здание: Мощёные улицы | здание: Царица дорог | чудо света: Аппиева дорога | чудо света: Сервиева стена | чудо света: Станции cursus publicus | чудо света: Форум Романум
19;I. Италийские основы и ранняя Республика (509–300 до н. э.);aqueduct;Самотечный акведук;Дороги, вода и строительство;78;lined_cisterns, groma_surveying;Точная нивелировка удерживает малый уклон канала на десятках километров и подаёт воду в город без насосов.;здание: Большой акведук | здание: Водораспределитель | здание: Малый акведук | здание: Нимфей-фонтан | здание: Оросительные каналы | здание: Служба водомеров | чудо света: Аква Клавдия | чудо света: Аква Марция
20;I. Италийские основы и ранняя Республика (509–300 до н. э.);mortise_tenon_hulls;Корпус на шиповых соединениях;Флот, кораблестроение и навигация;81;bronze_molds;Доски обшивки связываются шипами, пазами и нагелями, образуя прочный средиземноморский корабельный корпус.;эскадра: Либурнская патрульная флотилия | здание: Верфи | здание: Верфь квинкверем | здание: Речная пристань | чудо света: Navalia — верфи Рима
21;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);gladius_hispaniensis;Принятие Gladius Hispaniensis;Легионы и строевая тактика;85;manipular_drill;Испанский клинок стандартизируется для короткого колющего боя в тесном строю.;отряд: Легионеры с gladius Hispaniensis
22;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);pila_mass_production;Стандартизированное производство пилумов;Легионы и строевая тактика;88;gladius_hispaniensis;Кузницы выпускают древки, втулки и железные стержни по единым размерам для снабжения целых легионов.;отряд: Метатели пилумов
23;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);naval_quinquereme;Серийная постройка квинкверем;Флот, кораблестроение и навигация;91;mortise_tenon_hulls, state_mints;Шаблоны, нумерация деталей и крупные эллинско-пунические корпуса открывают тяжёлую линейную эскадру.;отряд: Морская пехота | эскадра: Линия квинкверем | здание: Верфь квинкверем | чудо света: Navalia — верфи Рима
24;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);corvus_bridge;Абордажный мост corvus;Флот, кораблестроение и навигация;94;naval_quinquereme, siege_engines;Поворотный мост с железным клювом цепляется за вражескую палубу и превращает морской бой в рукопашный.;эскадра: Абордажная эскадра с corvus
25;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);torsion_artillery;Торсионные пучки сухожилий;Осадная техника и артиллерия;93;siege_doctrine, bronze_molds;Скрученные канаты из жил и волос запасают энергию для баллист, скорпионов и камнемётов.;артиллерия: Ахейские литоболы | артиллерия: Киренайские торсионные машины | артиллерия: Лигурийские горные метатели | здание: Бастион
26;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);siege_doctrine;Инженерная осадная доктрина;Осадная техника и артиллерия;96;siege_engines;Разведка стен, апроши, контрвалы, подкопы и расписание штурмов объединяются в единую систему.;артиллерия: Карфагенские осадные башни | артиллерия: Македонский осадный поезд | артиллерия: Умбрийские пращники | здание: Осадная мастерская
27;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);repeating_artillery;Полибол с цепной подачей;Осадная техника и артиллерия;99;torsion_artillery, greek_tutors;Вращаемый ворот приводит механизм, который последовательно подаёт болты и натягивает тетиву.;артиллерия: Малоазийские полиболы | артиллерия: Парфянские мобильные полиболы | чудо света: Мастерская Архимеда
28;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);allied_alae;Союзнические alae;Кавалерия, ауксилии и граница;102;castra_aestiva;Италийские союзники сводятся в отдельные крылья пехоты и конницы с римским командованием и нормами снабжения.;отряд: Союзническая ala | артиллерия: Балеарские funditores
29;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);currency_reform;Весовой стандарт денария;Торговля, деньги и снабжение;101;tax_census, banking;Единый серебряный номинал, знаки стоимости и контролируемая проба упрощают жалование, налоги и дальнюю торговлю.;чудо света: Капитолийский монетный двор
30;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);state_mints;Штемпельная монетная чеканка;Торговля, деньги и снабжение;104;currency_reform, bronze_molds;Государственные мастерские контролируют металл, вес кружка, парные штемпели и выпуск серий монет.;здание: Монетный двор | чудо света: Капитолийский монетный двор | чудо света: Храм Сатурна и Эрарий
31;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);forum_maximum;Базилика-форумный комплекс;Религия, городское общество и идеология;107;twelve_tables, stone_roads;Крытые базилики рядом с форумом дают постоянное место судам, сделкам, архивам и публичным объявлениям.;здание: Базилика | здание: Форум | чудо света: Базилика Ульпия | чудо света: Базилика Эмилия | чудо света: Форум Романум | чудо света: Форум Юлия
32;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);granaries;Вентилируемые horrea;Религия, городское общество и идеология;110;aqueduct, merchant_collegia;Поднятые полы, вентиляционные каналы и разделённые кладовые уменьшают сырость, вредителей и потери зерна.;здание: Большие зернохранилища | здание: Военный склад | здание: Склад | чудо света: Египетские зернохранилища | чудо света: Склады Гальбы
33;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);banking;Депозитные книги аргентариев;Торговля, деньги и снабжение;109;merchant_collegia, scribal_bureau;Банкиры ведут счета, принимают вклады, переводят платежи и удостоверяют сделки записями в книгах.;здание: Аукционный дом | здание: Банкирский стол | здание: Коллегия судовладельцев
34;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);military_roads;Маршевые дороги и станции;Дороги, вода и строительство;112;stone_roads, castra_aestiva;Стандартизированные мосты, милиарии, mansiones и mutationes ускоряют передвижение армии и почты.;здание: Военный склад | здание: Мулий двор | здание: Царица дорог | чудо света: Сеть мильных камней
35;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);harbor_cranes;Поворотные краны и кабестаны;Дороги, вода и строительство;115;mortise_tenon_hulls, siege_engines;Блоки, вороты и поворотная стрела механизируют разгрузку камня, зерна, мачт и осадных машин.;артиллерия: Родосские противовесные краны | здание: Гавань | здание: Портовый кран | чудо света: Порт Остии | чудо света: Рынки Траяна
36;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);greek_tutors;Греческая paideia;Наука, образование и медицина;118;scribal_bureau, forum_maximum;Грамматика, риторика, геометрия и философия входят в подготовку римских командиров, юристов и инженеров.;здание: Грамматическая школа | здание: Одеон | здание: Палестра | здание: Стадион | чудо света: Атеней Адриана | чудо света: Школа риторов
37;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);provincial_law;Формулярное провинциальное судопроизводство;Право и государственное управление;117;twelve_tables, forum_maximum;Наместник применяет письменные формулы, эдикты и местные нормы в единой судебной процедуре.;здание: Курия | здание: Судебная базилика | чудо света: Базилика Эмилия | чудо света: Курия Юлия
38;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);iron_armories;Централизованные fabricae вооружения;Осадная техника и артиллерия;120;bronze_molds, currency_reform;Крупные оружейные мастерские распределяют железо, лекала и заказы между кузнецами и армейскими складами.;отряд: Бронированные ауксилии | здание: Арсенал | здание: Железный рудник | здание: Сыродутный горн | ресурсный эффект: +15% мощности обработки железа и стали
39;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);naval_artillery;Палубные баллисты и скорпионы;Флот, кораблестроение и навигация;123;naval_quinquereme, torsion_artillery;Метательные машины получают морские станки, крепления и расчёты для поражения экипажа и снастей.;отряд: Корабельные катапультарии | артиллерия: Киликийские корабельные катапульты | здание: Морской арт. двор
40;II. Средняя Республика и Средиземноморская экспансия (300–146 до н. э.);naval_supply;Снабженческий флот;Флот, кораблестроение и навигация;126;naval_quinquereme, granaries;Транспортные суда, амфоры, водяные запасы и распределительные гавани поддерживают армии вдали от Италии.;эскадра: Classis transportaria | здание: Морской арсенал
41;III. Поздняя Республика (146–27 до н. э.);testudo;Согласованная testudo;Легионы и строевая тактика;125;manipular_drill, gladius_hispaniensis;Передние и верхние ряды соединяют щиты под командами, создавая подвижное прикрытие от стрел и камней.;отряд: Легион-черепаха
42;III. Поздняя Республика (146–27 до н. э.);cohort_tactics;Когортная тактика;Легионы и строевая тактика;128;pila_mass_production, testudo;Три манипула действуют как крупная когорта с собственным резервом, фронтом и устойчивым командованием.;отряд: Когортный резерв | чудо света: Марсово поле
43;III. Поздняя Республика (146–27 до н. э.);marian_reform;Постоянный легионный набор;Легионы и строевая тактика;131;cohort_tactics, tax_census;Длительная служба, государственное снабжение и единая подготовка заменяют краткий сезонный призыв.;отряд: Профессиональные легионеры | здание: Вербовочный пункт
44;III. Поздняя Республика (146–27 до н. э.);eagle_standards;Единый легионный орёл;Легионы и строевая тактика;134;marian_reform;Aquila становится главным знаменем и центром ритуала, идентичности и управления легионом.;отряд: Охрана легионного орла | чудо света: Храм Марса Мстителя
45;III. Поздняя Республика (146–27 до н. э.);veteran_colonies;Плановые ветеранские колонии;Кавалерия, ауксилии и граница;133;marian_reform, citizenship_grants;Размежёванные наделы, городская сетка и коллективное поселение превращают демобилизацию в освоение провинций.;здание: Колония ветеранов
46;III. Поздняя Республика (146–27 до н. э.);legionary_workshops;Полевые fabricae legionis;Осадная техника и артиллерия;136;iron_armories, military_roads;Штатные fabri ремонтируют оружие, повозки, мосты и осадные машины непосредственно при легионе.;отряд: Fabri legionis | здание: Легионная мастерская
47;III. Поздняя Республика (146–27 до н. э.);incendiary_munitions;Стандартизированные зажигательные снаряды;Осадная техника и артиллерия;139;torsion_artillery, legionary_workshops;Смола, пакля, сера и керамические сосуды превращаются в штатные боеприпасы для осады и флота.;артиллерия: Апулийские огневые горшки | артиллерия: Понтийские огнемёты | здание: Арсенал зажигательных
48;III. Поздняя Республика (146–27 до н. э.);pirate_suppression;Зональные морские патрули;Флот, кораблестроение и навигация;142;naval_supply, naval_artillery;Быстрые суда, разведка гаваней и постоянные маршруты перекрывают пиратам убежища и рынки сбыта.;здание: Антипиратский патруль | здание: Портовая цепь
49;III. Поздняя Республика (146–27 до н. э.);deepwater_harbors;Молы и глубоководные бассейны;Флот, кораблестроение и навигация;141;harbor_cranes, concrete;Кессоны, волноломы, дноуглубление и маячные входы позволяют принимать крупные корабли круглый год.;эскадра: Александрийский титан | здание: Александрийский маяк | здание: Глубоководный порт | здание: Ловля жемчуга | здание: Мол | чудо света: Великий маяк Александрии | чудо света: Порт Остии
50;III. Поздняя Республика (146–27 до н. э.);concrete;Opus caementicium;Дороги, вода и строительство;144;aqueduct, harbor_cranes;Известковый раствор, каменный заполнитель и пуццолана создают монолитные стены, своды и подводные сооружения.;здание: Александрийский маяк | здание: Амфитеатр | здание: Базилика | здание: Бастион | здание: Большие зернохранилища | здание: Большой акведук | здание: Великие стены | здание: Глубоководный порт
51;III. Поздняя Республика (146–27 до н. э.);latifundia;Товарная villa rustica;Земледелие, добыча и ремесло;147;iron_ploughshares, banking;Жилой центр, склады, прессы, рабсилы и специализированные угодья объединяются в крупное рыночное хозяйство.;здание: Винный пресс | здание: Латифундия | здание: Маслодавильня | здание: Сельская вилла | ресурсный эффект: +6% пшеницы, +10% вина и оливкового масла
52;III. Поздняя Республика (146–27 до н. э.);water_mills;Колесная водяная мельница;Земледелие, добыча и ремесло;150;aqueduct, latifundia;Поток вращает колесо и через передачу приводит жернова, заменяя постоянный труд людей и животных.;здание: Водяная мельница | ресурсный эффект: +15% эффективного зернового производства
53;III. Поздняя Республика (146–27 до н. э.);glassblowing;Выдувание стекла через трубку;Земледелие, добыча и ремесло;149;bronze_molds, greek_tutors;Мастер формует горячую стеклянную массу воздухом и быстро производит тонкостенные сосуды сложной формы.;здание: Стекольная мастерская
54;III. Поздняя Республика (146–27 до н. э.);citizenship_grants;Муниципальное гражданство и латинское право;Право и государственное управление;152;provincial_law, senatorial_commissions;Правовой статус распространяется на союзные и провинциальные общины через муниципальные хартии.;здание: Курия
55;III. Поздняя Республика (146–27 до н. э.);public_baths;Термы с циркуляцией воды;Религия, городское общество и идеология;155;aqueduct, concrete;Последовательность холодных, тёплых и горячих помещений объединяется с водопроводом, сливом и обслуживанием.;здание: Императорские термы | здание: Малые бани | чудо света: Термы Каракаллы
56;III. Поздняя Республика (146–27 до н. э.);roman_schools;Школы грамматики и риторики;Наука, образование и медицина;158;greek_tutors, citizenship_grants;Последовательное обучение чтению, грамматике и публичной речи создаёт кадры для армии, суда и администрации.;здание: Грамматическая школа | здание: Начальная школа | здание: Риторская школа | чудо света: Школа риторов
57;III. Поздняя Республика (146–27 до н. э.);senatorial_commissions;Постоянные судебные комиссии;Право и государственное управление;157;provincial_law, scribal_bureau;Quaestiones получают установленный состав, предмет расследования и процедуру рассмотрения государственных преступлений.;чудо света: Курия Юлия | чудо света: Храм Согласия
58;III. Поздняя Республика (146–27 до н. э.);governor_audits;Финансовые отчёты наместников;Право и государственное управление;160;senatorial_commissions, tax_census;Описи, книги сборов и судебные жалобы позволяют проверять провинциальную администрацию после срока службы.;здание: Преторий
59;III. Поздняя Республика (146–27 до н. э.);customs_posts;Портории и таможенные станции;Торговля, деньги и снабжение;163;currency_reform, naval_supply;Пограничные и портовые пункты применяют тарифы, весы, пломбы и декларации к перевозимым товарам.;здание: Биржа пряностей | здание: Караван-сарай | здание: Рынок благовоний | здание: Таможенная набережная | здание: Таможня | здание: Фактория Шёлкового пути | здание: Янтарный торг | чудо света: Большой рынок — Macellum Magnum
60;III. Поздняя Республика (146–27 до н. э.);mare_nostrum;Единая система морских коммуникаций;Флот, кораблестроение и навигация;166;pirate_suppression, deepwater_harbors;Контроль проливов, баз, конвоев и навигационных маршрутов связывает Средиземноморье в одну стратегическую сеть.;здание: Фактория Шёлкового пути
61;IV. Принципат (27 до н. э.–212 н. э.);admiralty;Постоянные classis и префекты флота;Флот, кораблестроение и навигация;170;mare_nostrum, professional_centurions;Флоты закрепляются за базами, получают постоянные экипажи, командование и зоны ответственности.;здание: Морской арсенал | чудо света: Арсенал Мизена | чудо света: Гавань флота Равенны
62;IV. Принципат (27 до н. э.–212 н. э.);alexandrian_mechanics;Александрийская прикладная механика;Наука, образование и медицина;173;greek_tutors, harbor_cranes;Геометрия, пневматика, зубчатые передачи и теория машин переходят из трактатов в инженерные мастерские.;эскадра: Александрийский титан | артиллерия: Александрийские катапульты | артиллерия: Македонский осадный поезд | здание: Инженерная школа | здание: Мастерская камнереза | здание: Машинная мастерская | здание: Обсерватория | здание: Служба водомеров
63;IV. Принципат (27 до н. э.–212 н. э.);auxiliary_diplomas;Военные дипломы ауксилиев;Кавалерия, ауксилии и граница;176;auxiliary_recruitment, citizenship_grants;Бронзовый документ удостоверяет увольнение, службу и дарование гражданства ветерану вспомогательных войск.;отряд: Ветераны-дипломаты ауксилий | здание: Форт ауксилиев
64;IV. Принципат (27 до н. э.–212 н. э.);auxiliary_recruitment;Штатная система ауксилий;Кавалерия, ауксилии и граница;179;allied_alae, citizenship_grants;Провинциальные когорты и алы получают постоянные номера, командиров, жалование и специализацию.;отряд: Имперская ауксилия | здание: Нумидийские конные заводы | здание: Форт ауксилиев
65;IV. Принципат (27 до н. э.–212 н. э.);carroballistae;Карробаллисты на колёсных станках;Осадная техника и артиллерия;178;mobile_field_artillery, military_roads;Компактная баллиста устанавливается на повозку и сопровождает полевую колонну без разборки.;отряд: Карробаллистарии | артиллерия: Бриттские колесничные скорпионы | артиллерия: Нумидийские верблюжьи баллисты | артиллерия: Парфянские мобильные полиболы | здание: Артиллерийская площадка
66;IV. Принципат (27 до н. э.–212 н. э.);cheiroballistra;Хиробаллистра с металлической рамой;Осадная техника и артиллерия;181;torsion_artillery, alexandrian_mechanics;Металлические рамы и независимые торсионные узлы делают болтомёт компактнее, точнее и пригоднее для поля.;отряд: Расчёты хиробаллистр | артиллерия: Латинские скорпионы | артиллерия: Этрусские аркбаллисты | здание: Баллистный двор | чудо света: Школа автоматов Герона
67;IV. Принципат (27 до н. э.–212 н. э.);field_medicine;Valetudinaria и штат medici;Наука, образование и медицина;184;public_baths, permanent_legionary_camps;Военные госпитали, врачи, санитары и наборы инструментов создают постоянную систему лечения раненых.;отряд: Полевые медики | здание: Асклепион | здание: Ветеринарий | здание: Военный госпиталь | здание: Медицинская школа | здание: Странноприимный дом | здание: Чумной дом
68;IV. Принципат (27 до н. э.–212 н. э.);fleet_bases;Постоянные военно-морские базы;Флот, кораблестроение и навигация;187;admiralty, deepwater_harbors;Верфи, арсеналы, казармы гребцов и склады снабжения поддерживают флот вне сезона кампаний.;эскадра: Флот снабжения и мастерских | здание: Военно-морская база | чудо света: Арсенал Мизена | чудо света: Гавань флота Равенны
69;IV. Принципат (27 до н. э.–212 н. э.);frontier_limes;Эшелонированный limes;Кавалерия, ауксилии и граница;186;permanent_legionary_camps, military_roads;Дороги, башни, малые форты, легионные крепости и контролируемые переходы образуют глубоко эшелонированную границу.;артиллерия: Германские лагерь-дробители | здание: Башня лимеса | здание: Великие стены | чудо света: Вал Адриана | чудо света: Германский лимес | чудо света: Порта Нигра
70;IV. Принципат (27 до н. э.–212 н. э.);hydraulic_mining;Гидравлическая разработка руд;Земледелие, добыча и ремесло;189;aqueduct, alexandrian_mechanics;Акведуки и резервуары направляют мощный поток для вскрытия россыпей, промывки и удаления пустой породы.;здание: Британские оловянные копи | здание: Дакийские золотые прииски | здание: Золотой рудник | здание: Серебряный рудник | чудо света: Имперские карьеры Каррары | ресурсный эффект: усиливает рудники и каменоломни
71;IV. Принципат (27 до н. э.–212 н. э.);hypocaust_heating;Гипокауст;Дороги, вода и строительство;192;public_baths, concrete;Горячий воздух проходит под поднятым полом и внутри стеновых каналов, равномерно обогревая помещения.;здание: Императорские термы | здание: Малые бани | чудо света: Термы Каракаллы
72;IV. Принципат (27 до н. э.–212 н. э.);imperial_treasury;Раздельный fiscus и государственные кассы;Торговля, деньги и снабжение;195;state_mints, governor_audits;Императорские доходы, провинциальные счета и целевые фонды ведутся раздельно и регулярно сводятся.;здание: Казначейство | чудо света: Храм Сатурна и Эрарий
73;IV. Принципат (27 до н. э.–212 н. э.);latin_libraries;Публичные библиотеки со скрипториями;Наука, образование и медицина;194;roman_schools, scribal_bureau;Каталоги, шкафы для свитков, переписчики и читальные залы превращают книги в городскую инфраструктуру.;здание: Библиотека | здание: Монастырь | чудо света: Александрийская библиотека | чудо света: Палатинская библиотека | чудо света: Храм Аполлона Палатинского
74;IV. Принципат (27 до н. э.–212 н. э.);marble_quarries;Императорская организация мраморных карьеров;Земледелие, добыча и ремесло;197;hydraulic_mining, military_roads;Карьерные бригады, маркировка блоков, тяговые пути и морская доставка создают поток отделочного камня.;здание: Мавзолей | здание: Мраморный карьер | здание: Пантеон | чудо света: Имперские карьеры Каррары | чудо света: Мавзолей в Галикарнасе | чудо света: Мраморный форум | чудо света: Палатинский дворец | чудо света: Пантеон
75;IV. Принципат (27 до н. э.–212 н. э.);mobile_field_artillery;Штатная полевая артиллерия легиона;Осадная техника и артиллерия;200;legionary_workshops, torsion_artillery;Лёгкие скорпионы распределяются по подразделениям и имеют собственные расчёты, боезапас и транспорт.;отряд: Скорпионарии | артиллерия: Армянские высокогорные баллисты
76;IV. Принципат (27 до н. э.–212 н. э.);monumental_domical_vaulting;Купольные бетонные своды;Дороги, вода и строительство;203;concrete, alexandrian_mechanics;Облегчённый заполнитель, кессоны и ступенчатая толщина позволяют перекрывать огромные круглые пространства.;здание: Императорские термы | здание: Пантеон | здание: Христианская базилика | чудо света: Базилика Ульпия | чудо света: Великий маяк Александрии | чудо света: Коллегия архитекторов Витрувия | чудо света: Палатинский дворец | чудо света: Пантеон
77;IV. Принципат (27 до н. э.–212 н. э.);permanent_legionary_camps;Постоянные легионные крепости;Кавалерия, ауксилии и граница;202;castra_aestiva, professional_centurions;Деревянный лагерь превращается в каменную базу с principia, казармами, госпиталем, мастерскими и складами.;здание: Легионный лагерь | чудо света: Вал Адриана | чудо света: Кастра претория
78;IV. Принципат (27 до н. э.–212 н. э.);professional_centurions;Карьерный корпус центурионов;Легионы и строевая тактика;205;eagle_standards, castra_aestiva;Продвижение по центуриям, служебный опыт и единая командная культура формируют профессиональный младший офицерский корпус.;отряд: Кадр центурионов | здание: Военная школа | здание: Лагерь преторианцев | чудо света: Кастра претория | чудо света: Колонна Траяна | чудо света: Марсово поле
79;IV. Принципат (27 до н. э.–212 н. э.);urban_prefecture;Префектура Города;Право и государственное управление;208;public_baths, governor_audits;Постоянное ведомство координирует порядок, пожарную охрану, снабжение и суд в крупнейшей столице.;здание: Кардо и декуманус | здание: Пост вигилов | здание: Пост когорты | чудо света: Большой рынок — Macellum Magnum | чудо света: Большой цирк | чудо света: Клоака Максима | чудо света: Когорты вигилов | чудо света: Префектура Города
80;IV. Принципат (27 до н. э.–212 н. э.);pax_romana;Единые имперские стандарты;Религия, городское общество и идеология;211;urban_prefecture, imperial_treasury, mare_nostrum;Дороги, право, монета, почта и гарнизоны работают как совместимая система на всей территории державы.;чудо света: Алтарь Мира | чудо света: Храм Согласия
81;V. Поздняя империя (212–476 н. э.);capitatio_iugatio;Capitatio-iugatio;Торговля, деньги и снабжение;220;tax_census, provincial_archives;Земельные участки, население и производительность сводятся в периодически обновляемые налоговые единицы.;здание: Земельный кадастр
82;V. Поздняя империя (212–476 н. э.);cataphractarii;Полностью бронированные cataphractarii;Кавалерия, ауксилии и граница;223;auxiliary_recruitment, iron_armories;Всадник и конь получают тяжёлое защитное снаряжение, длинное копьё и тактику плотного ударного строя.;отряд: Римские катафрактарии
83;V. Поздняя империя (212–476 н. э.);codex_manuscript;Кодексная книга;Наука, образование и медицина;226;latin_libraries, provincial_archives;Сложенные тетради сшиваются по корешку, позволяют писать с обеих сторон и быстро находить нужное место.;здание: Дом учения | здание: Кафедра епископа | здание: Монастырь | здание: Скрипторий | здание: Христианская базилика | чудо света: Имперские архивы | чудо света: Имперский скрипторий | чудо света: Палатинская библиотека
84;V. Поздняя империя (212–476 н. э.);comitatenses_field_army;Полевая армия comitatenses;Легионы и строевая тактика;229;professional_centurions, imperial_couriers;Подвижные части выводятся из пограничных гарнизонов в отдельный резерв для переброски между театрами войны.;отряд: Полевые comitatenses
