id	status	old_name	new_name	era	branch
field_medicine	renamed	Полевая медицина	Valetudinaria и штат medici	4	Наука, образование и медицина
fleet_bases	renamed	Военно-морские базы	Постоянные военно-морские базы	4	Флот, кораблестроение и навигация
frontier_limes	renamed	Limes Romanus	Эшелонированный limes	4	Кавалерия, ауксилии и граница
hydraulic_mining	new		Гидравлическая разработка руд	4	Земледелие, добыча и ремесло
hypocaust_heating	new		Гипокауст	4	Дороги, вода и строительство
imperial_treasury	renamed	Fiscus Imperialis	Раздельный fiscus и государственные кассы	4	Торговля, деньги и снабжение
latin_libraries	renamed	Латинские библиотеки	Публичные библиотеки со скрипториями	4	Наука, образование и медицина
marble_quarries	renamed	Мраморные карьеры	Императорская организация мраморных карьеров	4	Земледелие, добыча и ремесло
mobile_field_artillery	renamed	Мобильная полевая артиллерия	Штатная полевая артиллерия легиона	4	Осадная техника и артиллерия
monumental_domical_vaulting	new		Купольные бетонные своды	4	Дороги, вода и строительство
permanent_legionary_camps	new		Постоянные легионные крепости	4	Кавалерия, ауксилии и граница
professional_centurions	renamed	Профессиональные центурионы	Карьерный корпус центурионов	4	Легионы и строевая тактика
urban_prefecture	renamed	Городская префектура	Префектура Города	4	Право и государственное управление
pax_romana	renamed	Pax Romana	Единые имперские стандарты	4	Религия, городское общество и идеология
capitatio_iugatio	new		Capitatio-iugatio	5	Торговля, деньги и снабжение
cataphractarii	new		Полностью бронированные cataphractarii	5	Кавалерия, ауксилии и граница
codex_manuscript	new		Кодексная книга	5	Наука, образование и медицина
comitatenses_field_army	new		Полевая армия comitatenses	5	Легионы и строевая тактика
counterweight_engines	renamed	Противовесные машины	Онагр с пращевым рычагом	5	Осадная техника и артиллерия
imperial_academies	renamed	Имперские академии	Императорские школы права и администрации	5	Наука, образование и медицина
late_roman_dromon	new		Дромон позднеримского типа	5	Флот, кораблестроение и навигация
limitanei_defense	new		Пограничные войска limitanei	5	Кавалерия, ауксилии и граница
universal_citizenship	renamed	Всеобщее гражданство	Constitutio Antoniniana	5	Право и государственное управление
water_powered_sawmills	new		Вододействующие пилорамы	5	Дороги, вода и строительство
great_building_program	renamed	Великая строительная программа	Позднеимперские строительные корпорации	5	Дороги, вода и строительство
jurists_chancery	renamed	Канцелярия юристов	Канцелярия императорских конституций	5	Право и государственное управление
imperial_cult	renamed	Имперский культ	Сакральная императорская монархия	5	Религия, городское общество и идеология
provincial_archives	renamed	Провинциальные архивы	Провинциальные реестры и кодексы	5	Право и государственное управление
grain_fleet	renamed	Annona — зерновой флот	Государственные флоты annona	5	Флот, кораблестроение и навигация
monument_commissions	renamed	Монументальные комиссии	Императорские строительные комиссии	5	Религия, городское общество и идеология
lighthouse_network	renamed	Сеть маяков	Береговая сигнальная сеть	5	Флот, кораблестроение и навигация
imperial_couriers	renamed	Cursus Publicus	Императорская почтовая разведка	5	Право и государственное управление
grain_contracts	renamed	Зерновые контракты	Государственные оружейные фабрики (Fabricae)	5	Осадная техника и артиллерия
ballista_corps	renamed	Корпуса баллист	Военная инженерия	5	Осадная техника и артиллерия
